country,neighbor
FRA,AND
ESP,AND
OMN,ARE
SAU,ARE
CHN,AFG
IRN,AFG
PAK,AFG
TJK,AFG
TKM,AFG
UZB,AFG
GRC,ALB
XKX,ALB
MKD,ALB
MNE,ALB
SRB,ALB
AZE,ARM
GEO,ARM
IRN,ARM
TUR,ARM
COD,AGO
NAM,AGO
COG,AGO
ZMB,AGO
BOL,ARG
BRA,ARG
CHL,ARG
PRY,ARG
URY,ARG
CZE,AUT
DEU,AUT
HUN,AUT
ITA,AUT
LIE,AUT
SVK,AUT
SVN,AUT
CHE,AUT
ARM,AZE
GEO,AZE
IRN,AZE
RUS,AZE
TUR,AZE
HRV,BIH
MNE,BIH
SRB,BIH
IND,BGD
MMR,BGD
FRA,BEL
DEU,BEL
LUX,BEL
NLD,BEL
BEN,BFA
GHA,BFA
CIV,BFA
MLI,BFA
NER,BFA
TGO,BFA
GRC,BGR
MKD,BGR
ROU,BGR
SRB,BGR
TUR,BGR
COD,BDI
RWA,BDI
TZA,BDI
BFA,BEN
NER,BEN
NGA,BEN
TGO,BEN
MYS,BRN
ARG,BOL
BRA,BOL
CHL,BOL
PRY,BOL
PER,BOL
ARG,BRA
BOL,BRA
COL,BRA
GUF,BRA
GUY,BRA
PRY,BRA
PER,BRA
SUR,BRA
URY,BRA
VEN,BRA
CHN,BTN
IND,BTN
NAM,BWA
ZAF,BWA
ZWE,BWA
LVA,BLR
LTU,BLR
POL,BLR
RUS,BLR
UKR,BLR
GTM,BLZ
MEX,BLZ
USA,CAN
AGO,COD
BDI,COD
CAF,COD
COG,COD
RWA,COD
SSD,COD
TZA,COD
UGA,COD
ZMB,COD
CMR,CAF
TCD,CAF
COD,CAF
COG,CAF
SSD,CAF
SDN,CAF
AGO,COG
CMR,COG
CAF,COG
COD,COG
GAB,COG
AUT,CHE
FRA,CHE
DEU,CHE
ITA,CHE
LIE,CHE
BFA,CIV
GHA,CIV
GIN,CIV
LBR,CIV
MLI,CIV
ARG,CHL
BOL,CHL
PER,CHL
CAF,CMR
TCD,CMR
GNQ,CMR
GAB,CMR
NGA,CMR
COG,CMR
AFG,CHN
BTN,CHN
IND,CHN
KAZ,CHN
KGZ,CHN
LAO,CHN
MNG,CHN
MMR,CHN
NPL,CHN
PRK,CHN
PAK,CHN
RUS,CHN
TJK,CHN
VNM,CHN
BRA,COL
ECU,COL
PAN,COL
PER,COL
VEN,COL
NIC,CRI
PAN,CRI
USA,CUB
AUT,CZE
DEU,CZE
POL,CZE
SVK,CZE
AUT,DEU
BEL,DEU
CZE,DEU
DNK,DEU
FRA,DEU
LUX,DEU
NLD,DEU
POL,DEU
CHE,DEU
ERI,DJI
ETH,DJI
SOM,DJI
DEU,DNK
HTI,DOM
LBY,DZA
MLI,DZA
MRT,DZA
MAR,DZA
NER,DZA
TUN,DZA
ESH,DZA
COL,ECU
PER,ECU
LVA,EST
RUS,EST
ISR,EGY
LBY,EGY
SDN,EGY
DJI,ERI
ETH,ERI
SDN,ERI
AND,ESP
FRA,ESP
GIB,ESP
MAR,ESP
PRT,ESP
DJI,ETH
ERI,ETH
KEN,ETH
SOM,ETH
SSD,ETH
SDN,ETH
NOR,FIN
RUS,FIN
SWE,FIN
AND,FRA
BEL,FRA
DEU,FRA
ITA,FRA
LUX,FRA
MCO,FRA
ESP,FRA
CHE,FRA
CMR,GAB
GNQ,GAB
COG,GAB
IRL,GBR
ARM,GEO
AZE,GEO
RUS,GEO
TUR,GEO
BRA,GUF
SUR,GUF
BFA,GHA
CIV,GHA
TGO,GHA
ESP,GIB
SEN,GMB
GNB,GIN
CIV,GIN
LBR,GIN
MLI,GIN
SEN,GIN
SLE,GIN
CMR,GNQ
GAB,GNQ
ALB,GRC
BGR,GRC
MKD,GRC
TUR,GRC
BLZ,GTM
SLV,GTM
HND,GTM
MEX,GTM
GIN,GNB
SEN,GNB
BRA,GUY
SUR,GUY
VEN,GUY
SLV,HND
GTM,HND
NIC,HND
BIH,HRV
HUN,HRV
MNE,HRV
SRB,HRV
SVN,HRV
DOM,HTI
AUT,HUN
HRV,HUN
ROU,HUN
SRB,HUN
SVK,HUN
SVN,HUN
UKR,HUN
TLS,IDN
MYS,IDN
PNG,IDN
GBR,IRL
EGY,ISR
JOR,ISR
LBN,ISR
PSE,ISR
SYR,ISR
BGD,IND
BTN,IND
CHN,IND
MMR,IND
NPL,IND
PAK,IND
IRN,IRQ
JOR,IRQ
KWT,IRQ
SAU,IRQ
SYR,IRQ
TUR,IRQ
AFG,IRN
ARM,IRN
AZE,IRN
IRQ,IRN
PAK,IRN
TUR,IRN
TKM,IRN
AUT,ITA
FRA,ITA
SMR,ITA
SVN,ITA
CHE,ITA
VAT,ITA
IRQ,JOR
ISR,JOR
PSE,JOR
SAU,JOR
SYR,JOR
ETH,KEN
SOM,KEN
SSD,KEN
TZA,KEN
UGA,KEN
CHN,KGZ
KAZ,KGZ
TJK,KGZ
UZB,KGZ
LAO,KHM
THA,KHM
VNM,KHM
CHN,PRK
RUS,PRK
KOR,PRK
PRK,KOR
IRQ,KWT
SAU,KWT
CHN,KAZ
KGZ,KAZ
RUS,KAZ
TKM,KAZ
UZB,KAZ
KHM,LAO
CHN,LAO
MMR,LAO
THA,LAO
VNM,LAO
ISR,LBN
SYR,LBN
AUT,LIE
CHE,LIE
GIN,LBR
CIV,LBR
SLE,LBR
ZAF,LSO
BLR,LTU
LVA,LTU
POL,LTU
RUS,LTU
BEL,LUX
FRA,LUX
