id,color
FRA,3
ESP,4
OMN,3
SAU,4
CHN,1
IRN,1
PAK,2
TJK,3
TKM,4
UZB,1
GRC,4
XKX,2
MKD,3
MNE,3
SRB,2
AZE,4
GEO,1
TUR,2
COD,2
NAM,4
COG,3
ZMB,1
BOL,3
BRA,2
CHL,2
PRY,4
URY,3
CZE,3
DEU,4
HUN,3
ITA,4
LIE,4
SVK,4
SVN,2
CHE,2
ARM,4
RUS,2
HRV,4
IND,4
MMR,2
LUX,2
NLD,2
BEN,4
GHA,1
CIV,4
MLI,3
NER,1
TGO,3
ROU,1
RWA,1
TZA,3
BFA,2
NGA,3
MYS,3
ARG,1
PER,1
COL,4
GUF,3
GUY,3
SUR,4
VEN,1
ZAF,1
ZWE,4
LVA,3
LTU,4
POL,1
UKR,3
GTM,3
MEX,2
USA,4
AGO,3
BDI,4
CAF,4
SSD,1
UGA,4
CMR,1
TCD,4
SDN,2
GAB,4
AUT,1
GIN,1
LBR,3
GNQ,3
AFG,3
BTN,2
KAZ,3
KGZ,4
LAO,4
MNG,3
NPL,3
PRK,4
VNM,3
ECU,2
PAN,3
NIC,4
BEL,1
DNK,1
ERI,3
ETH,1
SOM,3
HTI,2
LBY,2
MRT,1
MAR,2
TUN,3
ESH,1
ISR,3
DJI,4
AND,1
GIB,2
PRT,3
KEN,2
NOR,3
SWE,2
MCO,1
IRL,3
SEN,4
GNB,3
SLE,4
ALB,1
BGR,1
BLZ,4
SLV,2
HND,1
BIH,1
DOM,4
TLS,1
PNG,2
GBR,4
EGY,1
JOR,2
LBN,2
PSE,2
SYR,1
BGD,3
KWT,2
IRQ,3
SMR,1
VAT,2
THA,1
KOR,2
KHM,2
BLR,4
EST,1
DZA,4
SXM,1
MOZ,2
BRN,2
IDN,4
MWI,4
SWZ,4
BWA,2
CRI,2
FIN,1
ARE,2
YEM,2
MDA,4
QAT,1
GMB,1
MAF,4
CAN,3
CUB,1
LSO,2
